Competency Code,Competency Description,Worker Competency,Supervisor Competency,Competencies,Knowledge / Skill Statement
1q,"Demonstrates understanding of childhood trauma research findings, emotional and behavioral symptomology and treatment options using a cross cultural lens. (K)",NA,Educative Supervision,Educative Supervision,Knowledge
1r,"Advocates reduced organizational barriers to staff performance including: assessing needed resources, changes to unit or regional policies/procedures, modifying unrealistic job expectations, and collaborating with upper-level management for changes in problematic organizational issues. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1s,Demonstrates the capacity to recognize and respond to secondary trauma in agency caseworkers. (K),NA,Educative Supervision,Educative Supervision,Knowledge
1t,Understands the skill set needed and can provide support (including referral for services) to staff experiencing secondary trauma and promote agency-wide understanding of the effects of secondary trauma. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1u,Finds creative and effective ways to advocate for clients and staff. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1v,Understands how to conduct trauma screenings with children served through the county social services agency. (K),NA,Educative Supervision,Educative Supervision,Knowledge
1w,"Discerns the strengths, needs, challenges, and feelings of others and offers appropriate support to colleagues/supervisees. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1x,"Understands and clarifies roles and responsibilities of participants in the child welfare system, including tribal agencies. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1y,Applies SSIS Charting and Analysis to assess their agency’s performance on federal child safety and permanency measures. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1z,"Demonstrates ability to effectively manage case assignments, case coverage and service delivery to clients via direct caseworker supervision. (S)",NA,Educative Supervision,Educative Supervision,Skill
2a,"Identifies and understands available resources, and builds and maintains effective working relationships with a network of systems, including tribes. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2b,"Understands and appreciates the different views, expertise and experience of others; understands the perspectives and limitations of other individuals and systems. (K)",NA,Human Resource Management,Human Resource Management,Knowledge
2c,Participates constructively on inter- and intra-agency work groups and activities to clarify and improve system and program functioning and service delivery. (S),NA,Human Resource Management,Human Resource Management,Skill
2d,Balances task requirements and individual abilities (matching people and staff; performance assignments). (S),NA,Human Resource Management,Human Resource Management,Skill
2e,Demonstrates the ability to organize materials or activities in order to accomplish tasks efficiently. (S),NA,Human Resource Management,Human Resource Management,Skill
2f,Sets challenging yet achievable goals for self and others. (S),NA,Human Resource Management,Human Resource Management,Skill
2g,Sets work schedules and caseload/workload standards that promote the effective and efficient use of staff and delivery of service. (S),NA,Human Resource Management,Human Resource Management,Skill
2h,"Demonstrates knowledge of, and can access personnel laws, rules, regulations and the union contract. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2i,"Demonstrates knowledge of, and can access Affirmative Action guidelines and Civil Service requirements. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2j,"Shows the ability to manage, as appropriate, the hiring, selection, and termination process. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2k,"Shows the ability to manage the employee appraisal process, to use competencies in performance planning, and to assess employee performance. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2l,Demonstrates the ability to identify employee performance problems and apply principles of progressive discipline. (S),NA,Human Resource Management,Human Resource Management,Skill
3a,Relates effectively with all levels of administration inside and outside the organization. (S),NA,Program Administration,Program Administration,Skill
3b,Demonstrates knowledge of ways to develop effective collaborations both inside and outside the organization. (S),NA,Program Administration,Program Administration,Skill
3c,"Demonstrates understanding of current issues that affect the organization, and consequent practice with families including disproportionality. (K)",NA,Program Administration,Program Administration,Knowledge
3d,"Understands relevant agency history and historical trauma implications for practice, organizational theory appropriate to human services, values and ethical considerations. (K)",NA,Program Administration,Program Administration,Knowledge
3e,"Demonstrates general knowledge of the concepts of strategic, operational and long- range planning. (K&S)",NA,Program Administration,Program Administration,Knowledge & Skills
3f,Demonstrates knowledge of the mission of the agency and its role in the child and family service system. (K),NA,Program Administration,Program Administration,Knowledge
3g,Demonstrates a general understanding of budgeting techniques and procedure for operating within a planned budget. (K&S),NA,Program Administration,Program Administration,Knowledge & Skills
4a,"Communicates a clear vision, motivation and commitment to the safety and well- being of children. (S)",NA,Team Leadership,Team Leadership,Skill
4b,Engages with others in team process to solve problems. (S),NA,Team Leadership,Team Leadership,Skill
4c,Works with others to find a win/win resolution of differences whenever possible. (S),NA,Team Leadership,Team Leadership,Skill
4d,Shows awareness of how management style impacts staff productivity and development. (K),NA,Team Leadership,Team Leadership,Knowledge
4e,Modifies leadership style to meet situational requirements. (K&S),NA,Team Leadership,Team Leadership,Knowledge & Skills
4f,Manages multiple or ambiguous directives while staying focused on major goals. (S),NA,Team Leadership,Team Leadership,Skill
4g,Uses knowledge of the system to identify long-term problems and opportunities. (K&S),NA,Team Leadership,Team Leadership,Knowledge & Skills
4h,"Solicits data, information, ideas, and opinions from relevant sources for specific decisions and plans. (S)",NA,Team Leadership,Team Leadership,Skill
4i,"Remains informed and up-to-date about activities, sharing all relevant or useful information that affects the group. (K&S)",NA,Team Leadership,Team Leadership,Knowledge & Skills
4j,Demonstrates the group process skills needed for diverse groups to work together effectively to achieve a common goal. (K&S),NA,Team Leadership,Team Leadership,Knowledge & Skills
4k,"Recognizes the complexities inherent in conflict, including aspects of direct child welfare practice, and proactively engages others in conflict resolution. (K&S)",NA,Team Leadership,Team Leadership,Knowledge & Skills
4l,"Understands the concepts of team development, facilitation of effective meetings, and conflict management. (K)",NA,Team Leadership,Team Leadership,Knowledge
5a,Recognizes and values alternative viewpoints. (K&S),NA,Organizational Leadership,Organizational Leadership,Knowledge & Skills
5b,"Adjusts communication, behavior and approach to a situation or to the agency’s larger objective. (S)",NA,Organizational Leadership,Organizational Leadership,Skill
5c,Utilizes theoretical frameworks and incorporates past experience to guide analysis and practice. (K&S),NA,Organizational Leadership,Organizational Leadership,Knowledge & Skills
5d,"Applies experience to interpret events, seeing crucial similarities and differences in present and past situations. (K&S)",NA,Organizational Leadership,Organizational Leadership,Knowledge & Skills
6a,"Understands the impact of disparities, disproportionalities and historical trauma on African-American families. (K)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge
6b,"Understands the impact of disparities, disproportionalities and historical trauma on American Indian families. (K)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge
6c,Understands the tools and assessments which can be used within their agency to identify disparities and disproportionalities regarding African-American and American Indian families. (K&S),NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6d,Understands how to discuss disparities and disproportionalities regarding African- American and American-Indian families with their unit staff. (K&S),NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6e,"Collaborates with community partners, including tribes, on ways to address disparities and disproportionalities. (K&S)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6f,Identifies and implements methods to increase effective intercultural understanding. (K&S),NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6g,"Understands how ethnocentrism, stereotyping, and lack of cultural knowledge and historical support bias, discrimination, and racism. (K)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge
6h,Understands the concept of multiculturalism and how a pluralistic society benefits from the contributions of its diverse members. (K),NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge
6i,"Understands the effects of racism, ageism, ableism, sexism, homophobia, xenophobia, transphobia and other forms of discrimination on personal development and emotional health. (K)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge
6j,Demonstrates how to use culturally relevant information in ways that avoid stereotyping. (K&S),NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6k,"Knows how to locate accurate cultural information, use cultural consultants, and access educational resources to strengthen one’s own cultural humility. (K&S)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6l,"Recognizes, through self-reflection, how to continually examine their own lack of cultural knowledge and areas of personal bias. (K)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge
6m,"Engages in relationships with peers, supervisees, and families from a variety of diverse cultural, ethnic and social backgrounds. (K&S)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6n,"Understands how a family’s history of oppression and trauma in their home country, historical trauma, dislocation, and emigration may affect their coping capacity, parenting behaviors, and emotional health. (K&S)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6o,"Understands how a family’s adherence to community values, beliefs and traditions can serve as a source of strength to be utilized in family assessments, case planning, and service delivery. (K)",NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge
6p,Knows how to identify and involve qualified interpreters to enable more accurate and open communication and effective practice with families who do not speak fluent English. (K&S),NA,Cultural Responsiveness,Cultural Responsiveness,Knowledge & Skills
6q,"Works with agency administrators, including tribes, to develop formal partnerships with culturally-based community networks and service providers on behalf of families and children. (S)",NA,Cultural Responsiveness,Cultural Responsiveness,Skill
7a,Describes and evaluates own performance in terms that reflect recognition of personal strengths and challenges. (K&S),NA,Professionalism,Professionalism,Knowledge & Skills
7b,"Assumes responsibility for own performance and outcomes, and learns from mistakes. (K&S)",NA,Professionalism,Professionalism,Knowledge & Skills
7c,"Clarifies personal values and executes plans for professional development to meet client and agency needs, while adhering to the NASW code of ethics. (S)",NA,Professionalism,Professionalism,Skill
7d,"Presents a positive image to other service providers and to the community at large through use of the media, personal interactions and presentations. (S)",NA,Professionalism,Professionalism,Skill
7e,"Demonstrates ability to deliver presentations at internal/external meetings, conferences and workshops. (S)",NA,Professionalism,Professionalism,Skill
7f,Understands the value and demonstrates the use of self-assessment and ethical practice associated improvement relative to the child welfare practice model. (K&S),NA,Professionalism,Professionalism,Knowledge & Skills
7g,"Communicates key elements of trauma dynamics, research findings and treatment options to county agency leaders, child welfare caseworkers and community partners. (S)",NA,Professionalism,Professionalism,Skill
7h,Respects and adheres to ethical data protection principles and confidentiality regarding any information obtained in the course of their duties. (K&S),NA,Professionalism,Professionalism,Knowledge & Skills
7i,"Engages with superiors, supervisees and mentors in an appropriate fashion. (S)",NA,Professionalism,Professionalism,Skill
8a,Anticipates significant information necessary for decision making. (K),NA,Decision Making,Decision Making,Knowledge
8b,Recognizes when a decision is required and makes timely decisions based on available data. (K&S),NA,Decision Making,Decision Making,Knowledge & Skills
8c,"Maintains and/or explains positions when under pressure from others, confronting resistance if necessary. (K&S)",NA,Decision Making,Decision Making,Knowledge & Skills
8d,Shifts positions if new information indicates. (K&S),NA,Decision Making,Decision Making,Knowledge & Skills
8e,"Gives directions or orders based on professional authority, rules, and procedures when a situation requires. (S)",NA,Decision Making,Decision Making,Skill
8f,Reaches sound conclusions and makes reasonable decisions based on available information. (K&S),NA,Decision Making,Decision Making,Knowledge & Skills
8g,Balances short- and long-term considerations. (K&S),NA,Decision Making,Decision Making,Knowledge & Skills
8h,Sets priorities for tasks in order of importance. (S),NA,Decision Making,Decision Making,Skill
8i,"Maintains objectivity in handling difficult issues, events, and decisions. (S)",NA,Decision Making,Decision Making,Skill
8j,Identifies and confronts bias as it relates to decision making. (K&S),NA,Decision Making,Decision Making,Knowledge & Skills
